type,name,source_file,folder
VIEW,vwComprasDetalle,consolidado/20-vistasMicrosipConsolidado.sql,consolidado
PROCEDURE,spBiCFDIExplotarMicrosip,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spBiCFDIExplotarMicrosipFechas,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spBiCFDIExplotarMicrosipInicioFin,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spBiCFDIExplotarMicrosipTenantInicioFin,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesFiscal,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spPagosRevisarComplemento,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spPagosRecordarComplemento,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesListaNegra,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
VIEW,biSAT69CFDIsRecibidos,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
VIEW,biSATFirmesNoLocalizadosComprasYCxp,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
VIEW,vwPolizasCfdiCancelado,consolidado/35-fiscalMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesVentas_antes,consolidado/49-spEspecialesMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesVentas_despues,consolidado/49-spEspecialesMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesCompras_antes,consolidado/49-spEspecialesMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesCompras_despues,consolidado/49-spEspecialesMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesFinal,consolidado/49-spEspecialesMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesCatalogos,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesVentas,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesCx,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesConta,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spImportarFlujoCaja,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesCompras,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spCalcBiModulosGrupo1,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spBibliaInv,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spInvAntiguedad,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spInvAntiguedadAlmacen,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spBibliaInvAlmacen,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spLoteResumen,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spCamposParticulares,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spImportarEqTable,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spCalcCorteGrupo3,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spCorteCx,consolidado/50-spBIMicrosipConsolidado.sql,consolidado
PROCEDURE,spReportesVentasBig,consolidado/51-spBIMicrosipBigConsolidado.sql,consolidado
PROCEDURE,spLoteResumenBig,consolidado/51-spBIMicrosipBigConsolidado.sql,consolidado
PROCEDURE,spReportesHistorico,consolidado/52-spBIMicrosipHistoricoConsolidado.sql,consolidado
PROCEDURE,spPostInitial,consolidado/60-spPostMicrosipConsolidado.sql,consolidado
PROCEDURE,spAnalyzeSyncTables,consolidado/60-spPostMicrosipConsolidado.sql,consolidado
PROCEDURE,spPostFinal,consolidado/60-spPostMicrosipConsolidado.sql,consolidado
PROCEDURE,xpPostInitial,consolidado/60-spPostMicrosipConsolidado.sql,consolidado
PROCEDURE,xpPostFinal,consolidado/60-spPostMicrosipConsolidado.sql,consolidado
EVENT,instalacionInicial,consolidado/instalacion-1a-vez.sql,consolidado
PROCEDURE,spModulosGrupoLote,consolidado/spModulosGrupoLoteConsolidado.sql,consolidado
PROCEDURE,spProyectoResumen,consolidado/spModulosGrupoLoteConsolidado.sql,consolidado
